province_id,name_fa,name_en,latitude,longitude
1,آذربایجان شرقی,East Azarbaijan,37.9035733,46.2682109
2,آذربایجان غربی,Western Azerbaijan,37.9035733,46.2682109
3,اردبیل,Ardabil,38.4853276,47.8911209
4,اصفهان,Esfahan,32.6546275,51.6679826
5,البرز,Alborz,35.9960467,50.9289246
6,ایلام,Ilam,33.2957618,46.670534
7,بوشهر,Bushehr,28.9233837,50.820314
8,تهران,Tehran,35.696111,51.423056
9,چهارمحال و بختیاری,Chaharmahal and Bakhtiari,31.9614348,50.8456323
10,خراسان جنوبی,South Khorasan,32.5175643,59.1041758
11,خراسان رضوی,Khorasan Razavi,32.5175643,59.1041758
12,خراسان شمالی,North Khorasan,37.4710353,57.1013188
13,خوزستان,Khuzestan,31.4360149,49.041312
14,زنجان,Zanjan,36.5018185,48.3988186
15,سمنان,Semnan,35.2255585,54.4342138
16,سیستان و بلوچستان,Sistan and Baluchistan,27.5299906,60.5820676
17,فارس,Fars,29.1043813,53.045893
18,قزوین,Qazvin,36.0881317,49.8547266
19,قم,Qom,34.6399443,50.8759419
20,کردستان,Kurdistan,31.4360149,49.041312
21,کرمان,Kerman,30.2839379,57.0833628
22,کرمانشاه,Kermanshah,34.314167,47.065
23,کهگیلویه و بویراحمد,Kohgiloyeh Boyerahmad,30.6509479,51.60525
24,گلستان,Golestan,37.2898123,55.1375834
25,گیلان,Gilan,37.2809,49.5924
26,لرستان,Lorestan,31.4360149,49.041312
27,مازندران,Mazandaran,36.2262393,52.5318604
28,مرکزی,Markazi,34.6123,49.8547
29,هرمزگان,Hormozgan,30.2839379,57.0833628
30,همدان,Hamedan,27.138723,55.1375834
31,یزد,Yazd,0.0,0.0
